URN,CTSURN,LatinName,EnglishName
urn:cite:chs:textgroup.tlg1443,urn:cts:greekLit:tlg1443:,Ignatius,"St. Ignatius of Antioch"
urn:cite:chs:textgroup.tlg1451,urn:cts:greekLit:tlg1451:,"Josephus Et Aseneth","Joseph and Aseneth"
urn:cite:chs:textgroup.tlg1463,urn:cts:greekLit:tlg1463:,"Liber Enoch","The Book of Enoch"
urn:cite:chs:textgroup.tlg1464,urn:cts:greekLit:tlg1464:,"Liber Jubilaeorum","The Book of Jubilees"
urn:cite:chs:textgroup.tlg1482,urn:cts:greekLit:tlg1482:,Cyranides,Cyranides
urn:cite:chs:textgroup.tlg1485,urn:cts:greekLit:tlg1485:,"Martyrium Ptolemaei Et Lucii","The Acts of Ptolemaeus and Lucius"
urn:cite:chs:textgroup.tlg1515,urn:cts:greekLit:tlg1515:,Moeris,Moeris
urn:cite:chs:textgroup.tlg1521,urn:cts:greekLit:tlg1521:,"Vita Et Sententiae Secundi","Life and Sayings of Secundus"
urn:cite:chs:textgroup.tlg1527,urn:cts:greekLit:tlg1527:,Nepualius,Nepualius
urn:cite:chs:textgroup.tlg1545,urn:cts:greekLit:tlg1545:,Ocellus,Ocellus
urn:cite:chs:textgroup.tlg1599,urn:cts:greekLit:tlg1599:,Philo,Philo
urn:cite:chs:textgroup.tlg1600,urn:cts:greekLit:tlg1600:,"Philostratus Major",Philostratus
urn:cite:chs:textgroup.tlg1605,urn:cts:greekLit:tlg1605:,Pseudo-Phocylides,Pseudo-Phocylides
urn:cite:chs:textgroup.tlg1608,urn:cts:greekLit:tlg1608:,Phrynichus,"Phrynichus of Bithynia"
urn:cite:chs:textgroup.tlg1617,urn:cts:greekLit:tlg1617:,"Marcus Antonius Polemon","Polemon of Laodicea"
urn:cite:chs:textgroup.tlg1622,urn:cts:greekLit:tlg1622:,Polycarpus,Polycarp
urn:cite:chs:textgroup.tlg1637,urn:cts:greekLit:tlg1637:,"Protevangelium Jacobi","The Infancy Gospel of James"
urn:cite:chs:textgroup.tlg1666,urn:cts:greekLit:tlg1666:,"Sententiae Sexti","The Sentences of Sextus"
urn:cite:chs:textgroup.tlg1692,urn:cts:greekLit:tlg1692:,Speusippus,Speusippus
urn:cite:chs:textgroup.tlg1700,urn:cts:greekLit:tlg1700:,"Testamenta XII Patriarcharum","The Testaments of the Twelve Patriarchs"
urn:cite:chs:textgroup.tlg1702,urn:cts:greekLit:tlg1702:,"Testamentum Jobi","The Testament of Job"
urn:cite:chs:textgroup.tlg1719,urn:cts:greekLit:tlg1719:,Theodosius,"Theodosius of Bithynia"
urn:cite:chs:textgroup.tlg1724,urn:cts:greekLit:tlg1724:,Theon,"Theon (of Smyrna)"
urn:cite:chs:textgroup.tlg1725,urn:cts:greekLit:tlg1725:,Theophilus,Theophilus
urn:cite:chs:textgroup.tlg1747,urn:cts:greekLit:tlg1747:,"Vita Adam Et Evae","The Life of Adam and Eve"
urn:cite:chs:textgroup.tlg1760,urn:cts:greekLit:tlg1760:,"Gaius Suetonius Tranquillus",Suetonius
urn:cite:chs:textgroup.tlg1763,urn:cts:greekLit:tlg1763:,"Tryphon II",Tryphon
urn:cite:chs:textgroup.tlg1764,urn:cts:greekLit:tlg1764:,"Vettius Valens","Vettius Valens"
urn:cite:chs:textgroup.tlg1766,urn:cts:greekLit:tlg1766:,Tatianus,Tatian
